PRISM Time Series Data
Location:  Lat: 32.8355   Lon: -117.1529   Elev: 381ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2018-01-01 - 2022-09-28
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-Nov-29
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2018-01-22,0.00,44.5,53.2,61.8,36.9,2.48,11.69
2018-01-23,0.00,44.6,55.4,66.2,32.7,3.77,16.89
2018-01-24,0.00,44.9,58.9,72.9,31.2,4.56,21.78
2018-01-25,0.00,45.7,61.3,76.9,29.4,4.60,27.38
2018-01-26,0.00,44.1,53.4,62.8,43.0,2.19,9.01
2018-01-27,0.00,45.9,54.5,63.0,39.6,2.10,11.95
2018-01-28,0.00,44.9,57.7,70.5,30.5,4.47,20.58
2018-01-29,0.00,51.1,67.6,84.1,29.2,7.32,35.27
2018-01-30,0.00,55.6,70.3,85.1,28.0,9.35,35.90
2018-01-31,0.00,55.1,68.1,81.1,29.7,8.61,31.76
2018-02-01,0.00,52.8,65.5,78.2,35.6,6.75,26.89
2018-02-02,0.00,52.3,65.4,78.6,43.9,3.03,24.50
2018-02-03,0.00,54.2,67.7,81.3,36.8,6.19,29.30
2018-02-04,0.00,52.9,65.9,79.0,37.5,6.10,26.44
2018-02-05,0.00,50.8,66.1,81.4,43.5,2.23,28.26
2018-02-06,0.00,50.2,61.1,71.9,50.1,0.57,16.34
2018-02-07,0.00,49.2,58.4,67.7,51.0,0.45,9.10
2018-02-08,0.00,50.9,66.0,81.1,39.5,0.93,28.78
2018-02-09,0.00,49.5,64.5,79.6,36.7,2.96,27.36
2018-02-10,0.00,48.5,58.9,69.3,49.8,0.53,12.03
2018-02-11,0.00,53.5,58.6,63.8,51.1,1.58,7.38
2018-02-12,0.00,52.0,60.2,68.5,50.6,1.61,12.40
2018-02-13,0.01,51.0,55.6,60.1,46.1,2.02,7.89
2018-02-14,0.00,50.0,57.3,64.7,43.1,2.28,11.83
2018-02-15,0.00,53.0,61.2,69.3,47.5,1.70,14.35
2018-02-16,0.00,51.7,60.6,69.6,45.8,1.79,13.79
2018-02-17,0.00,50.0,62.4,74.8,31.5,5.86,23.83
2018-02-18,0.00,48.7,61.6,74.6,30.7,5.12,24.11
2018-02-19,0.00,49.9,58.8,67.7,44.6,2.91,13.55
2018-02-20,0.00,39.3,48.6,58.0,31.4,3.18,11.05
2018-02-21,0.00,39.0,48.4,57.7,24.9,2.73,12.91
2018-02-22,0.02,42.4,50.3,58.2,34.4,2.34,10.06
2018-02-23,0.03,43.3,51.2,59.1,41.2,2.03,8.30
2018-02-24,0.00,40.9,48.3,55.7,32.2,2.85,9.67
2018-02-25,0.00,38.8,50.5,62.2,26.9,2.80,15.44
2018-02-26,0.00,41.3,54.1,66.9,31.5,3.04,16.32
2018-02-27,0.36,44.6,53.9,63.3,41.7,0.70,10.31
2018-02-28,0.12,41.8,48.8,55.9,38.8,1.10,8.38
2018-03-01,0.00,41.2,50.1,59.0,40.1,1.39,8.46
2018-03-02,0.00,44.2,52.9,61.6,41.9,1.16,10.15
2018-03-03,0.12,44.7,54.1,63.6,46.6,0.63,10.16
2018-03-04,0.10,50.6,56.0,61.4,48.2,0.73,8.22
2018-03-05,0.00,44.4,52.3,60.2,38.4,1.85,10.45
2018-03-06,0.00,44.1,57.7,71.2,27.0,3.34,22.36
2018-03-07,0.00,49.4,62.2,75.0,25.9,6.21,26.46
2018-03-08,0.00,50.9,61.4,71.9,37.8,2.81,21.99
2018-03-09,0.00,50.4,60.5,70.5,42.5,2.89,18.12
2018-03-10,0.00,51.2,59.5,67.8,51.4,1.24,9.87
2018-03-11,0.54,57.4,58.9,60.3,56.1,0.41,2.61
2018-03-12,0.00,58.0,63.0,67.9,55.7,1.78,7.92
2018-03-13,0.00,58.0,63.4,68.8,55.6,1.63,8.12
2018-03-14,0.04,57.5,63.1,68.8,57.4,0.49,8.49
2018-03-15,0.13,55.2,59.7,64.2,52.4,1.00,9.00
2018-03-16,0.03,47.6,54.3,60.9,45.1,1.49,8.52
2018-03-17,0.22,46.4,53.7,61.0,44.1,0.58,9.64
2018-03-18,0.09,48.0,54.3,60.7,45.3,0.52,9.10
2018-03-19,0.00,46.5,53.5,60.5,42.4,1.29,9.13
2018-03-20,0.00,47.1,58.5,69.9,43.7,1.47,16.80
2018-03-21,0.00,50.4,60.3,70.2,44.0,3.01,16.22
2018-03-22,0.00,52.2,63.5,74.7,43.0,4.33,22.12
2018-03-23,0.04,56.7,63.2,69.7,53.3,1.16,12.29
2018-03-24,0.00,56.3,61.2,66.1,54.0,1.08,7.05
2018-03-25,0.00,51.1,56.4,61.6,45.8,2.54,9.05
2018-03-26,0.00,48.1,54.6,61.1,41.5,2.47,10.14
2018-03-27,0.00,46.6,54.5,62.3,41.4,2.54,10.35
2018-03-28,0.00,45.9,57.6,69.2,38.8,2.88,17.48
2018-03-29,0.00,47.8,60.0,72.3,44.0,1.34,18.87
2018-03-30,0.00,50.5,61.5,72.4,50.2,0.52,16.18
2018-03-31,0.00,51.6,63.3,75.1,52.3,0.22,16.96
2018-04-01,0.00,52.0,61.5,71.1,53.0,0.19,12.04
2018-04-02,0.00,55.0,60.3,65.7,51.3,1.82,8.69
2018-04-03,0.00,56.2,59.8,63.4,50.9,2.61,7.14
2018-04-04,0.00,54.2,61.2,68.2,52.5,1.16,10.07
2018-04-05,0.00,55.5,60.4,65.3,53.4,1.43,6.77
2018-04-06,0.00,55.0,61.3,67.7,52.4,1.41,9.96
2018-04-07,0.00,54.2,61.5,68.8,53.0,1.22,11.26
2018-04-08,0.00,57.1,64.5,71.8,56.8,1.10,10.06
2018-04-09,0.00,55.2,64.6,74.1,53.7,1.42,15.18
2018-04-10,0.00,54.4,70.3,86.2,52.1,1.23,31.68
2018-04-11,0.00,56.1,72.2,88.2,47.8,2.49,37.78
2018-04-12,0.00,55.9,65.9,75.9,53.7,0.90,17.53
2018-04-13,0.00,50.5,58.2,65.8,46.1,2.50,12.05
2018-04-14,0.00,50.0,63.4,76.8,36.1,3.16,25.34
2018-04-15,0.00,53.7,69.2,84.8,27.6,8.04,36.46
2018-04-16,0.00,54.0,65.7,77.5,43.2,1.39,26.74
2018-04-17,0.00,51.9,58.6,65.2,45.7,2.24,10.47
2018-04-18,0.00,48.3,56.5,64.8,39.8,3.02,13.14
2018-04-19,0.00,48.3,57.8,67.3,46.9,1.95,12.09
2018-04-20,0.04,49.0,55.1,61.2,44.5,1.61,8.91
2018-04-21,0.00,49.5,59.1,68.7,48.1,1.06,14.22
2018-04-22,0.00,50.8,64.3,77.8,50.4,1.19,21.79
2018-04-23,0.00,53.8,65.4,77.0,51.7,0.45,20.59
2018-04-24,0.00,53.7,64.1,74.5,53.6,0.32,16.38
2018-04-25,0.00,54.1,62.1,70.1,52.4,0.55,11.93
2018-04-26,0.00,55.1,62.5,69.9,51.6,2.07,12.18
2018-04-27,0.00,56.1,62.3,68.6,50.8,3.05,10.98
2018-04-28,0.00,53.3,60.5,67.6,50.1,1.78,10.56
2018-04-29,0.00,54.3,61.6,68.9,50.7,2.75,11.07
2018-04-30,0.00,56.8,61.6,66.3,50.0,3.39,9.62
2018-05-01,0.03,54.0,58.5,63.1,50.1,1.51,7.12
2018-05-02,0.04,51.8,55.9,60.0,45.7,1.08,8.26
2018-05-03,0.05,50.3,55.6,60.9,49.0,0.81,6.81
2018-05-04,0.00,49.6,59.1,68.7,51.2,1.10,10.88
2018-05-05,0.00,53.9,68.9,83.9,51.9,0.95,29.67
2018-05-06,0.00,56.0,69.1,82.1,52.5,1.42,26.32
2018-05-07,0.00,55.2,66.6,77.9,53.5,1.15,18.85
2018-05-08,0.00,54.3,63.2,72.0,53.1,0.75,12.93
2018-05-09,0.00,55.9,63.8,71.6,54.4,1.03,12.44
2018-05-10,0.00,57.4,64.9,72.4,55.2,1.56,12.47
2018-05-11,0.00,57.9,65.0,72.1,55.0,1.69,11.63
2018-05-12,0.00,54.7,57.9,61.1,51.1,1.46,5.53
2018-05-13,0.00,54.6,59.2,63.9,50.3,1.68,8.31
2018-05-14,0.00,54.9,61.2,67.5,49.6,2.14,11.80
2018-05-15,0.00,56.7,62.4,68.0,52.3,3.00,9.76
2018-05-16,0.00,58.0,63.7,69.4,51.9,3.25,11.66
2018-05-17,0.00,55.9,62.4,68.9,51.9,2.16,11.06
2018-05-18,0.00,55.6,61.2,66.9,50.1,2.42,10.35
2018-05-19,0.00,57.8,61.5,65.1,52.2,2.64,7.83
2018-05-20,0.00,58.8,62.6,66.4,53.4,2.96,7.85
2018-05-21,0.01,57.2,61.1,65.0,54.7,1.14,6.37
2018-05-22,0.00,57.2,61.0,64.8,51.5,1.70,8.59
2018-05-23,0.00,56.5,61.1,65.8,50.1,2.88,9.68
2018-05-24,0.00,58.4,62.5,66.6,53.9,2.06,8.05
2018-05-25,0.00,57.8,61.1,64.4,53.1,1.40,7.13
2018-05-26,0.00,56.0,62.3,68.7,52.3,2.09,11.23
2018-05-27,0.00,56.3,61.4,66.4,51.7,2.20,9.69
2018-05-28,0.00,58.1,63.8,69.5,53.2,3.14,10.89
2018-05-29,0.00,59.6,65.3,70.9,55.3,2.50,10.91
2018-05-30,0.00,59.0,63.8,68.6,56.2,1.51,8.06
2018-05-31,0.02,58.5,63.9,69.3,55.2,1.48,9.64
2018-06-01,0.00,58.6,64.2,69.8,54.9,1.67,10.20
2018-06-02,0.00,56.0,64.1,72.2,54.0,1.17,13.43
2018-06-03,0.00,55.5,64.6,73.7,56.6,0.78,12.90
2018-06-04,0.00,59.7,67.2,74.6,57.4,1.78,13.17
2018-06-05,0.00,60.4,66.1,71.7,57.3,2.14,10.56
2018-06-06,0.00,60.9,65.2,69.5,55.8,2.71,9.60
2018-06-07,0.00,59.9,65.6,71.2,54.8,3.42,11.01
2018-06-08,0.00,56.5,63.7,70.8,53.6,1.66,12.18
2018-06-09,0.00,56.3,67.0,77.8,57.2,1.02,17.08
2018-06-10,0.00,60.7,69.3,77.9,58.5,1.52,17.12
2018-06-11,0.00,59.3,67.3,75.2,57.5,1.38,14.13
2018-06-12,0.00,59.6,67.7,75.9,59.0,1.20,13.95
2018-06-13,0.00,60.4,67.8,75.2,59.2,1.34,12.64
2018-06-14,0.00,61.2,68.5,75.7,59.7,1.53,12.96
2018-06-15,0.00,62.2,72.6,83.1,60.1,1.61,22.83
2018-06-16,0.00,61.2,68.3,75.5,59.1,2.36,12.57
2018-06-17,0.00,60.6,63.1,65.6,52.9,3.74,7.43
2018-06-18,0.00,60.6,64.2,67.9,51.8,4.19,10.90
2018-06-19,0.00,61.3,66.0,70.8,54.4,3.45,11.93
2018-06-20,0.00,60.4,66.3,72.2,56.8,2.33,10.96
2018-06-21,0.00,61.7,67.5,73.2,58.7,2.45,10.39
2018-06-22,0.00,62.6,68.1,73.5,59.1,2.59,10.54
2018-06-23,0.00,62.3,69.6,77.0,59.6,2.20,14.09
2018-06-24,0.00,61.8,64.7,67.6,57.3,2.50,6.89
2018-06-25,0.00,61.2,66.5,71.9,56.2,3.34,11.16
2018-06-26,0.00,61.4,67.7,73.9,57.3,2.82,12.42
2018-06-27,0.00,61.7,68.9,76.2,58.5,1.83,14.30
2018-06-28,0.00,62.3,68.7,75.1,58.4,2.42,13.42
2018-06-29,0.00,60.9,66.6,72.3,56.4,2.92,11.68
2018-06-30,0.00,61.8,66.0,70.3,55.4,3.99,9.74
2018-07-01,0.00,60.7,66.6,72.5,55.3,3.28,12.13
2018-07-02,0.00,61.5,67.7,73.9,57.1,3.20,12.83
2018-07-03,0.00,63.5,70.1,76.6,58.5,3.56,14.47
2018-07-04,0.00,63.0,68.6,74.3,57.1,3.62,13.32
2018-07-05,0.00,62.6,70.3,78.0,58.6,1.98,16.24
2018-07-06,0.00,63.6,73.6,83.6,61.1,2.19,19.97
2018-07-07,0.00,66.3,84.5,102.8,60.7,3.66,51.97
2018-07-08,0.00,71.4,82.1,92.9,59.2,7.32,35.96
2018-07-09,0.00,71.5,81.2,91.0,59.9,6.41,36.75
2018-07-10,0.00,70.0,78.4,86.8,63.6,2.67,27.92
2018-07-11,0.00,67.6,74.4,81.2,64.8,2.59,19.26
2018-07-12,0.00,67.7,74.4,81.1,64.6,2.53,14.61
2018-07-13,0.00,68.3,74.1,79.9,64.7,2.98,14.13
2018-07-14,0.00,68.2,74.9,81.6,64.6,3.01,15.11
2018-07-15,0.00,68.2,74.5,80.7,64.7,3.14,14.80
2018-07-16,0.00,65.2,72.7,80.3,62.9,2.63,15.48
2018-07-17,0.00,65.5,72.6,79.7,63.2,2.46,14.75
2018-07-18,0.00,66.6,73.0,79.3,63.6,3.20,12.89
2018-07-19,0.00,66.2,72.2,78.1,63.0,3.02,12.70
2018-07-20,0.00,66.3,73.7,81.1,62.9,2.81,15.81
2018-07-21,0.00,67.1,72.5,77.9,64.0,2.84,13.12
2018-07-22,0.00,68.1,74.4,80.8,64.0,3.31,15.91
2018-07-23,0.00,67.5,75.7,83.9,64.1,2.46,20.74
2018-07-24,0.00,67.8,78.6,89.4,65.8,2.03,26.46
2018-07-25,0.00,67.8,77.9,87.9,66.7,1.45,22.46
2018-07-26,0.00,67.3,76.0,84.6,66.4,1.65,17.91
2018-07-27,0.00,66.8,73.8,80.8,65.4,1.70,14.08
2018-07-28,0.00,67.5,78.7,89.8,65.7,2.15,27.32
2018-07-29,0.00,68.2,74.5,80.8,64.7,3.03,15.23
2018-07-30,0.00,69.1,78.7,88.4,64.9,3.08,28.38
2018-07-31,0.00,69.8,78.0,86.2,65.7,2.91,21.91
2018-08-01,0.00,70.2,78.4,86.6,64.8,3.98,25.66
2018-08-02,0.00,71.1,79.4,87.7,65.1,4.05,25.66
2018-08-03,0.00,69.8,77.8,85.9,66.1,3.04,22.89
2018-08-04,0.00,69.6,77.4,85.2,66.5,2.54,18.74
2018-08-05,0.00,67.0,76.7,86.5,65.5,2.20,21.21
2018-08-06,0.00,66.5,75.7,84.9,65.1,1.54,19.97
2018-08-07,0.00,66.3,77.2,88.1,64.8,1.43,25.02
2018-08-08,0.00,69.4,80.4,91.4,65.1,2.67,34.10
2018-08-09,0.00,70.9,81.2,91.5,59.6,3.52,34.37
2018-08-10,0.00,73.4,82.7,92.0,64.9,6.45,33.14
2018-08-11,0.01,73.5,81.4,89.3,62.8,7.60,30.43
2018-08-12,0.00,72.5,80.1,87.6,66.0,2.85,26.27
2018-08-13,0.00,70.5,77.7,84.9,66.7,3.24,18.71
2018-08-14,0.00,68.5,75.2,81.8,63.7,3.41,18.54
2018-08-15,0.00,68.7,74.6,80.5,64.2,3.68,15.51
2018-08-16,0.00,69.3,74.5,79.6,64.5,4.21,13.46
2018-08-17,0.00,70.5,75.5,80.4,65.3,4.63,13.85
2018-08-18,0.00,71.5,76.5,81.5,67.0,4.84,14.07
2018-08-19,0.00,70.4,76.6,82.8,66.6,4.23,16.34
2018-08-20,0.00,69.9,75.6,81.3,65.1,4.34,15.58
2018-08-21,0.00,70.5,75.3,80.1,64.8,4.72,14.26
2018-08-22,0.00,70.8,75.8,80.7,64.4,4.64,15.88
2018-08-23,0.00,69.7,75.8,81.8,64.3,4.59,16.64
2018-08-24,0.00,69.3,75.0,80.7,63.9,4.24,15.11
2018-08-25,0.00,67.3,72.9,78.6,62.3,3.77,14.62
2018-08-26,0.00,69.1,73.9,78.7,62.4,5.30,14.46
2018-08-27,0.00,66.6,73.2,79.9,62.0,3.31,16.39
2018-08-28,0.00,64.3,71.6,78.9,60.9,2.52,15.96
2018-08-29,0.00,65.5,72.5,79.4,62.3,2.72,15.91
2018-08-30,0.00,65.4,74.0,82.6,63.7,2.07,18.12
2018-08-31,0.00,64.0,74.4,84.7,62.2,1.87,23.62
2018-09-01,0.00,64.2,72.2,80.2,62.7,2.42,16.50
2018-09-02,0.00,66.3,71.0,75.7,61.2,3.73,12.45
2018-09-03,0.00,67.5,72.0,76.5,60.7,4.90,14.01
2018-09-04,0.00,67.0,71.3,75.5,61.7,4.16,10.91
2018-09-05,0.00,67.8,70.9,73.9,63.5,3.47,8.45
2018-09-06,0.00,67.6,73.1,78.5,62.3,4.00,14.36
2018-09-07,0.00,67.6,72.0,76.4,62.8,3.52,11.44
2018-09-08,0.00,64.7,71.9,79.2,63.1,1.43,13.93
2018-09-09,0.00,62.5,74.3,86.1,64.1,0.49,22.33
2018-09-10,0.00,63.8,73.1,82.4,63.4,0.44,18.05
2018-09-11,0.00,60.9,69.8,78.7,60.1,1.48,15.08
2018-09-12,0.00,64.3,70.6,76.9,59.6,3.52,14.27
2018-09-13,0.00,61.8,70.4,79.1,59.8,1.93,16.13
2018-09-14,0.00,61.7,71.4,81.1,62.6,1.03,17.12
2018-09-15,0.00,62.9,74.8,86.6,61.2,1.21,29.28
2018-09-16,0.00,64.2,73.2,82.1,62.2,1.14,22.91
2018-09-17,0.00,63.0,72.9,82.8,60.7,1.32,22.44
2018-09-18,0.00,60.9,71.4,81.9,59.3,1.80,21.31
2018-09-19,0.00,59.8,70.3,80.8,59.5,1.32,19.43
2018-09-20,0.00,62.1,69.9,77.7,59.0,2.13,16.65
2018-09-21,0.00,58.8,66.4,73.9,58.5,1.77,11.68
2018-09-22,0.00,58.3,67.8,77.3,60.2,1.14,14.27
2018-09-23,0.00,63.2,71.0,78.8,62.8,1.32,13.60
2018-09-24,0.00,64.4,70.7,77.0,61.3,2.08,12.74
2018-09-25,0.00,64.6,66.5,68.5,59.8,2.89,6.41
2018-09-26,0.00,64.3,69.1,74.0,59.5,3.09,11.45
2018-09-27,0.00,63.6,68.9,74.3,61.2,1.97,10.16
2018-09-28,0.00,63.1,70.6,78.2,62.5,1.25,13.69
2018-09-29,0.00,64.7,70.5,76.4,61.0,2.11,13.65
2018-09-30,0.00,63.4,70.8,78.2,59.5,2.53,16.28
2018-10-01,0.00,63.2,73.1,83.0,60.7,2.66,21.48
2018-10-02,0.00,68.4,78.7,89.1,57.6,4.76,29.65
2018-10-03,0.00,65.2,71.7,78.3,60.7,2.77,15.52
2018-10-04,0.03,66.5,71.6,76.8,60.7,2.62,16.42
2018-10-05,0.06,63.7,69.1,74.5,61.5,1.50,11.28
2018-10-06,0.00,62.2,67.8,73.5,59.4,1.65,11.33
2018-10-07,0.00,61.6,66.3,71.0,58.4,2.34,9.66
2018-10-08,0.00,58.9,65.7,72.4,57.7,1.75,10.84
2018-10-09,0.00,58.4,65.7,73.1,56.6,1.76,12.25
2018-10-10,0.00,59.0,66.0,73.0,54.9,3.07,13.24
2018-10-11,0.00,57.3,64.5,71.7,53.4,2.90,12.62
2018-10-12,0.00,56.9,65.2,73.5,52.3,3.46,15.29
2018-10-13,0.59,56.5,65.5,74.4,56.3,0.99,14.55
2018-10-14,0.00,58.6,63.3,68.1,56.7,1.43,8.40
2018-10-15,0.00,59.5,65.9,72.4,56.7,1.73,12.29
2018-10-16,0.00,55.4,68.8,82.2,27.0,2.54,34.42
2018-10-17,0.00,54.9,67.3,79.7,32.2,8.33,30.78
2018-10-18,0.00,56.1,67.7,79.2,37.8,8.06,27.35
2018-10-19,0.00,57.3,70.4,83.5,40.9,7.64,31.40
2018-10-20,0.00,58.8,73.0,87.2,37.5,8.58,37.57
2018-10-21,0.00,58.0,71.7,85.4,41.1,7.53,35.09
2018-10-22,0.00,57.3,67.4,77.5,53.4,1.64,20.88
2018-10-23,0.00,60.1,66.3,72.4,56.3,2.27,12.01
2018-10-24,0.00,61.8,66.8,71.9,58.7,2.49,9.90
2018-10-25,0.00,60.5,67.6,74.7,59.0,0.99,11.98
2018-10-26,0.00,57.6,67.3,77.0,58.6,0.57,15.41
2018-10-27,0.00,56.7,68.4,80.1,57.5,0.48,19.56
2018-10-28,0.00,55.7,69.6,83.6,55.7,0.45,24.71
2018-10-29,0.00,55.7,66.5,77.4,56.7,0.40,17.43
2018-10-30,0.00,58.9,68.4,77.8,57.2,0.87,20.09
2018-10-31,0.00,57.0,64.5,71.9,55.1,1.80,11.87
2018-11-01,0.00,55.2,66.9,78.6,48.6,1.03,22.89
2018-11-02,0.00,54.8,68.3,81.8,38.4,6.42,32.05
2018-11-03,0.00,58.6,73.0,87.3,39.2,9.34,37.55
2018-11-04,0.00,57.9,70.4,82.9,47.8,3.96,29.92
2018-11-05,0.00,56.2,66.7,77.1,54.1,0.36,20.20
2018-11-06,0.00,54.1,62.7,71.3,56.1,0.42,10.99
2018-11-07,0.00,62.0,67.0,72.1,55.7,4.55,11.77
2018-11-08,0.00,63.2,67.0,70.7,56.2,4.52,10.58
2018-11-09,0.00,53.7,63.3,72.9,52.5,1.31,13.23
2018-11-10,0.00,53.4,67.6,81.8,23.2,6.45,34.07
2018-11-11,0.00,50.8,64.8,78.8,30.4,5.99,29.65
2018-11-12,0.00,48.2,62.0,75.8,25.6,6.75,26.41
2018-11-13,0.00,47.9,62.8,77.7,12.7,8.25,30.66
2018-11-14,0.00,50.9,63.2,75.4,16.3,9.16,28.15
2018-11-15,0.00,51.6,64.6,77.5,18.9,9.27,29.56
2018-11-16,0.00,50.9,63.9,76.9,27.8,4.60,28.37
2018-11-17,0.00,49.8,62.3,74.8,41.0,1.57,23.26
2018-11-18,0.00,48.9,60.9,72.9,41.0,1.93,22.88
2018-11-19,0.00,49.5,61.7,73.8,42.1,2.08,22.46
2018-11-20,0.00,50.5,61.3,72.1,45.3,2.60,20.39
2018-11-21,0.00,51.2,60.2,69.1,48.7,2.30,11.60
2018-11-22,0.05,52.1,61.4,70.7,49.7,2.04,15.10
2018-11-23,0.01,53.9,60.9,67.8,53.8,1.12,9.44
2018-11-24,0.00,55.7,61.7,67.8,52.5,2.89,10.21
2018-11-25,0.00,54.2,61.5,68.8,54.1,1.29,9.34
2018-11-26,0.00,53.1,63.6,74.1,52.6,1.29,15.82
2018-11-27,0.00,52.5,64.0,75.6,40.3,3.96,22.29
2018-11-28,0.00,51.4,63.2,75.1,37.5,3.47,25.30
2018-11-29,0.34,51.6,58.8,65.9,50.2,0.65,9.43
2018-11-30,0.93,55.5,58.8,62.1,54.5,0.56,4.98
2018-12-01,0.00,53.5,58.5,63.6,50.9,1.91,7.36
2018-12-02,0.00,52.7,58.2,63.8,48.3,1.97,9.26
2018-12-03,0.00,46.3,54.4,62.5,39.5,2.55,12.22
2018-12-04,0.00,45.0,56.3,67.6,37.7,2.20,17.23
2018-12-05,0.00,47.2,59.2,71.2,37.2,2.36,20.86
2018-12-06,0.77,44.9,53.7,62.5,46.1,0.99,10.02
2018-12-07,0.98,53.9,59.6,65.4,53.7,0.94,6.16
2018-12-08,0.00,51.4,59.4,67.4,50.7,1.25,10.80
2018-12-09,0.00,50.4,60.0,69.7,48.8,1.36,13.80
2018-12-10,0.00,50.3,60.8,71.4,49.3,1.67,15.22
2018-12-11,0.00,52.4,59.8,67.2,50.0,1.03,12.26
2018-12-12,0.00,50.7,58.4,66.2,50.7,0.87,9.71
2018-12-13,0.00,48.8,56.9,64.9,50.0,0.86,8.09
2018-12-14,0.00,48.4,63.1,77.9,43.2,0.94,27.27
2018-12-15,0.00,52.3,61.2,70.2,38.0,4.78,20.03
2018-12-16,0.00,47.7,59.3,70.9,42.1,1.61,19.05
2018-12-17,0.00,47.1,58.5,69.8,49.2,0.50,15.61
2018-12-18,0.01,52.5,59.2,65.9,52.7,0.95,9.01
2018-12-19,0.00,51.1,58.6,66.0,52.1,0.45,8.10
2018-12-20,0.00,48.7,59.9,71.2,50.3,0.75,13.62
2018-12-21,0.00,48.0,60.6,73.2,49.3,0.30,17.62
2018-12-22,0.00,48.7,57.0,65.3,50.5,0.32,7.69
2018-12-23,0.00,46.8,57.5,68.2,49.2,0.37,11.83
2018-12-24,0.00,51.1,58.5,66.0,52.4,0.42,7.92
2018-12-25,0.04,50.5,57.5,64.6,52.7,0.42,8.12
2018-12-26,0.14,47.9,53.5,59.1,48.7,0.89,5.09
2018-12-27,0.00,47.0,55.5,64.1,45.4,1.12,10.50
2018-12-28,0.00,45.6,53.8,62.0,44.7,1.29,8.23
2018-12-29,0.00,40.4,50.7,61.0,21.2,3.69,15.14
2018-12-30,0.00,39.9,50.3,60.7,26.5,3.67,14.55
2018-12-31,0.00,41.5,51.9,62.3,41.7,2.05,11.58
2019-01-01,0.08,43.6,51.1,58.6,43.0,1.45,5.76
2019-01-02,0.00,40.3,48.7,57.1,16.5,4.28,12.89
2019-01-03,0.00,36.2,48.1,60.0,23.5,3.13,15.97
2019-01-04,0.00,39.0,50.8,62.5,27.7,2.41,15.97
2019-01-05,0.00,38.5,51.4,64.4,34.1,2.46,15.64
2019-01-06,0.46,48.5,53.3,58.0,44.2,0.84,7.82
2019-01-07,0.03,46.5,53.4,60.3,46.8,0.52,7.18
2019-01-08,0.00,45.2,54.9,64.7,44.7,1.12,11.50
2019-01-09,0.00,48.2,58.9,69.6,44.5,1.44,15.08
2019-01-10,0.00,47.0,56.0,65.0,49.4,0.75,8.33
2019-01-11,0.00,50.0,56.8,63.5,50.9,0.41,7.03
2019-01-12,0.35,47.1,54.4,61.7,50.1,0.35,6.02
2019-01-13,0.09,47.3,53.7,60.1,49.4,0.65,5.62
2019-01-14,0.00,46.2,53.3,60.4,45.4,1.18,7.20
2019-01-15,0.50,53.0,55.8,58.6,49.3,0.63,7.76
2019-01-16,0.38,53.8,57.3,60.8,51.6,0.82,7.04
2019-01-17,0.02,55.7,61.3,66.9,52.7,1.46,10.28
2019-01-18,0.32,56.5,58.7,60.9,56.7,0.47,2.99
