PRISM Time Series Data
Locations: 157
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2021-01-01 - 2021-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-Nov-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmax (degrees F)
Location 1,-117.1219,32.5390,26,2021-04-25,0.00,57.1,63.3
Location 1,-117.1219,32.5390,26,2021-04-26,0.00,56.4,61.8
Location 1,-117.1219,32.5390,26,2021-04-27,0.07,54.5,61.1
Location 1,-117.1219,32.5390,26,2021-04-28,0.00,50.2,60.9
Location 1,-117.1219,32.5390,26,2021-04-29,0.00,50.0,67.3
Location 1,-117.1219,32.5390,26,2021-04-30,0.00,54.6,75.8
Location 1,-117.1219,32.5390,26,2021-05-01,0.00,58.5,79.3
Location 1,-117.1219,32.5390,26,2021-05-02,0.00,57.6,64.2
Location 1,-117.1219,32.5390,26,2021-05-03,0.02,56.5,62.2
Location 1,-117.1219,32.5390,26,2021-05-04,0.00,57.8,65.9
Location 1,-117.1219,32.5390,26,2021-05-05,0.00,58.5,66.2
Location 1,-117.1219,32.5390,26,2021-05-06,0.00,57.9,66.4
Location 1,-117.1219,32.5390,26,2021-05-07,0.00,57.8,63.0
Location 1,-117.1219,32.5390,26,2021-05-08,0.00,58.2,63.7
Location 1,-117.1219,32.5390,26,2021-05-09,0.00,57.8,63.1
Location 1,-117.1219,32.5390,26,2021-05-10,0.00,57.7,63.7
Location 1,-117.1219,32.5390,26,2021-05-11,0.00,58.0,63.7
Location 1,-117.1219,32.5390,26,2021-05-12,0.00,58.4,63.2
Location 1,-117.1219,32.5390,26,2021-05-13,0.00,59.6,65.3
Location 1,-117.1219,32.5390,26,2021-05-14,0.00,60.0,67.2
Location 1,-117.1219,32.5390,26,2021-05-15,0.00,59.2,65.7
Location 1,-117.1219,32.5390,26,2021-05-16,0.00,57.4,63.9
Location 1,-117.1219,32.5390,26,2021-05-17,0.00,56.4,62.0
Location 1,-117.1219,32.5390,26,2021-05-18,0.00,57.7,64.8
Location 1,-117.1219,32.5390,26,2021-05-19,0.00,59.1,64.6
Location 1,-117.1219,32.5390,26,2021-05-20,0.00,59.2,65.4
Location 1,-117.1219,32.5390,26,2021-05-21,0.00,56.3,63.2
Location 1,-117.1219,32.5390,26,2021-05-22,0.00,54.5,62.6
Location 1,-117.1219,32.5390,26,2021-05-23,0.00,51.8,61.6
Location 1,-117.1219,32.5390,26,2021-05-24,0.00,51.2,66.5
Location 1,-117.1219,32.5390,26,2021-05-25,0.00,54.6,70.2
Location 1,-117.1219,32.5390,26,2021-05-26,0.00,56.7,72.6
Location 1,-117.1219,32.5390,26,2021-05-27,0.00,57.8,67.2
Location 1,-117.1219,32.5390,26,2021-05-28,0.00,58.0,63.2
Location 1,-117.1219,32.5390,26,2021-05-29,0.00,58.6,64.1
Location 1,-117.1219,32.5390,26,2021-05-30,0.00,57.3,62.6
Location 1,-117.1219,32.5390,26,2021-05-31,0.00,57.5,63.4
Location 1,-117.1219,32.5390,26,2021-06-01,0.00,58.7,63.4
Location 1,-117.1219,32.5390,26,2021-06-02,0.00,58.8,62.9
Location 1,-117.1219,32.5390,26,2021-06-03,0.00,58.5,64.1
Location 1,-117.1219,32.5390,26,2021-06-04,0.00,59.2,63.5
Location 1,-117.1219,32.5390,26,2021-06-05,0.00,58.8,64.6
Location 1,-117.1219,32.5390,26,2021-06-06,0.00,60.0,64.4
Location 1,-117.1219,32.5390,26,2021-06-07,0.00,59.9,64.8
Location 1,-117.1219,32.5390,26,2021-06-08,0.00,59.5,63.3
Location 1,-117.1219,32.5390,26,2021-06-09,0.00,60.0,65.2
Location 1,-117.1219,32.5390,26,2021-06-10,0.00,56.1,65.8
Location 1,-117.1219,32.5390,26,2021-06-11,0.00,54.8,66.4
Location 1,-117.1219,32.5390,26,2021-06-12,0.00,55.4,67.7
Location 1,-117.1219,32.5390,26,2021-06-13,0.00,57.3,66.6
Location 1,-117.1219,32.5390,26,2021-06-14,0.00,59.8,67.2
Location 1,-117.1219,32.5390,26,2021-06-15,0.00,59.9,67.5
Location 1,-117.1219,32.5390,26,2021-06-16,0.00,62.6,79.1
Location 1,-117.1219,32.5390,26,2021-06-17,0.00,62.2,69.3
Location 1,-117.1219,32.5390,26,2021-06-18,0.00,62.0,68.4
Location 1,-117.1219,32.5390,26,2021-06-19,0.00,62.6,66.0
Location 1,-117.1219,32.5390,26,2021-06-20,0.00,62.8,66.4
Location 1,-117.1219,32.5390,26,2021-06-21,0.00,62.3,66.6
Location 1,-117.1219,32.5390,26,2021-06-22,0.00,62.5,67.0
Location 1,-117.1219,32.5390,26,2021-06-23,0.00,64.6,67.3
Location 1,-117.1219,32.5390,26,2021-06-24,0.03,63.9,68.3
Location 1,-117.1219,32.5390,26,2021-06-25,0.00,63.1,68.0
Location 1,-117.1219,32.5390,26,2021-06-26,0.00,62.5,68.4
Location 1,-117.1219,32.5390,26,2021-06-27,0.00,62.4,65.9
Location 1,-117.1219,32.5390,26,2021-06-28,0.00,63.0,67.5
Location 1,-117.1219,32.5390,26,2021-06-29,0.00,62.7,67.5
Location 1,-117.1219,32.5390,26,2021-06-30,0.00,64.3,67.9
Location 1,-117.1219,32.5390,26,2021-07-01,0.00,63.9,66.2
Location 1,-117.1219,32.5390,26,2021-07-02,0.00,64.0,67.8
Location 1,-117.1219,32.5390,26,2021-07-03,0.00,64.7,67.6
Location 1,-117.1219,32.5390,26,2021-07-04,0.00,63.9,67.0
Location 1,-117.1219,32.5390,26,2021-07-05,0.00,64.1,67.6
Location 1,-117.1219,32.5390,26,2021-07-06,0.00,64.2,67.9
Location 1,-117.1219,32.5390,26,2021-07-07,0.00,63.2,66.5
Location 1,-117.1219,32.5390,26,2021-07-08,0.00,63.3,67.1
Location 1,-117.1219,32.5390,26,2021-07-09,0.00,64.3,68.8
Location 1,-117.1219,32.5390,26,2021-07-10,0.00,65.7,69.3
Location 1,-117.1219,32.5390,26,2021-07-11,0.00,66.5,73.9
Location 1,-117.1219,32.5390,26,2021-07-12,0.00,66.2,69.5
Location 1,-117.1219,32.5390,26,2021-07-13,0.00,66.7,70.6
Location 1,-117.1219,32.5390,26,2021-07-14,0.00,67.0,70.6
Location 1,-117.1219,32.5390,26,2021-07-15,0.00,67.1,70.4
Location 1,-117.1219,32.5390,26,2021-07-16,0.00,66.7,70.6
Location 1,-117.1219,32.5390,26,2021-07-17,0.00,66.4,71.7
Location 1,-117.1219,32.5390,26,2021-07-18,0.00,67.5,71.9
Location 1,-117.1219,32.5390,26,2021-07-19,0.00,69.2,74.3
Location 1,-117.1219,32.5390,26,2021-07-20,0.00,68.6,74.3
Location 1,-117.1219,32.5390,26,2021-07-21,0.00,68.0,76.2
Location 1,-117.1219,32.5390,26,2021-07-22,0.00,67.6,72.3
Location 1,-117.1219,32.5390,26,2021-07-23,0.00,66.6,72.1
Location 1,-117.1219,32.5390,26,2021-07-24,0.00,66.5,72.0
Location 1,-117.1219,32.5390,26,2021-07-25,0.00,67.0,70.9
Location 1,-117.1219,32.5390,26,2021-07-26,0.04,67.2,70.5
Location 1,-117.1219,32.5390,26,2021-07-27,0.00,67.9,71.7
Location 1,-117.1219,32.5390,26,2021-07-28,0.00,66.5,71.1
Location 1,-117.1219,32.5390,26,2021-07-29,0.00,65.9,72.1
Location 1,-117.1219,32.5390,26,2021-07-30,0.00,65.6,71.3
Location 1,-117.1219,32.5390,26,2021-07-31,0.00,63.9,70.2
Location 1,-117.1219,32.5390,26,2021-08-01,0.00,62.4,70.1
Location 1,-117.1219,32.5390,26,2021-08-02,0.00,62.2,73.6
Location 1,-117.1219,32.5390,26,2021-08-03,0.00,62.9,73.2
Location 1,-117.1219,32.5390,26,2021-08-04,0.00,63.7,69.8
Location 1,-117.1219,32.5390,26,2021-08-05,0.00,64.1,68.8
Location 1,-117.1219,32.5390,26,2021-08-06,0.00,63.1,69.3
Location 1,-117.1219,32.5390,26,2021-08-07,0.00,62.7,68.0
Location 1,-117.1219,32.5390,26,2021-08-08,0.00,62.9,67.1
Location 1,-117.1219,32.5390,26,2021-08-09,0.00,63.7,67.6
Location 1,-117.1219,32.5390,26,2021-08-10,0.00,63.9,71.1
Location 1,-117.1219,32.5390,26,2021-08-11,0.08,66.3,71.6
Location 1,-117.1219,32.5390,26,2021-08-12,0.00,69.1,77.8
Location 1,-117.1219,32.5390,26,2021-08-13,0.00,68.7,76.1
Location 1,-117.1219,32.5390,26,2021-08-14,0.00,67.8,77.5
Location 1,-117.1219,32.5390,26,2021-08-15,0.00,67.1,76.1
Location 1,-117.1219,32.5390,26,2021-08-16,0.00,67.4,72.7
Location 1,-117.1219,32.5390,26,2021-08-17,0.00,67.7,73.4
Location 1,-117.1219,32.5390,26,2021-08-18,0.00,69.3,73.3
Location 1,-117.1219,32.5390,26,2021-08-19,0.00,69.7,75.9
Location 1,-117.1219,32.5390,26,2021-08-20,0.00,67.9,72.6
Location 1,-117.1219,32.5390,26,2021-08-21,0.00,67.2,71.8
Location 1,-117.1219,32.5390,26,2021-08-22,0.00,65.5,72.8
Location 1,-117.1219,32.5390,26,2021-08-23,0.00,67.9,72.0
Location 1,-117.1219,32.5390,26,2021-08-24,0.00,64.2,72.7
Location 1,-117.1219,32.5390,26,2021-08-25,0.00,63.6,71.8
Location 1,-117.1219,32.5390,26,2021-08-26,0.00,65.6,72.7
Location 1,-117.1219,32.5390,26,2021-08-27,0.00,66.0,75.7
Location 1,-117.1219,32.5390,26,2021-08-28,0.00,64.9,72.0
Location 1,-117.1219,32.5390,26,2021-08-29,0.00,66.4,69.8
Location 1,-117.1219,32.5390,26,2021-08-30,0.00,65.8,70.9
Location 1,-117.1219,32.5390,26,2021-08-31,0.00,66.6,70.8
Location 1,-117.1219,32.5390,26,2021-09-01,0.00,66.3,69.9
Location 1,-117.1219,32.5390,26,2021-09-02,0.00,67.3,72.8
Location 1,-117.1219,32.5390,26,2021-09-03,0.00,67.3,72.8
Location 1,-117.1219,32.5390,26,2021-09-04,0.00,65.0,70.8
Location 1,-117.1219,32.5390,26,2021-09-05,0.00,63.9,76.0
Location 1,-117.1219,32.5390,26,2021-09-06,0.00,66.0,71.3
Location 1,-117.1219,32.5390,26,2021-09-07,0.00,67.5,72.7
Location 1,-117.1219,32.5390,26,2021-09-08,0.00,68.0,77.0
Location 1,-117.1219,32.5390,26,2021-09-09,0.00,67.9,75.3
Location 1,-117.1219,32.5390,26,2021-09-10,0.00,68.0,76.7
Location 1,-117.1219,32.5390,26,2021-09-11,0.00,68.4,74.5
Location 1,-117.1219,32.5390,26,2021-09-12,0.00,67.9,77.8
Location 1,-117.1219,32.5390,26,2021-09-13,0.00,64.9,73.4
Location 1,-117.1219,32.5390,26,2021-09-14,0.00,63.2,69.0
Location 1,-117.1219,32.5390,26,2021-09-15,0.00,63.4,68.9
Location 1,-117.1219,32.5390,26,2021-09-16,0.00,63.7,69.7
Location 1,-117.1219,32.5390,26,2021-09-17,0.00,63.8,68.5
Location 1,-117.1219,32.5390,26,2021-09-18,0.00,63.7,69.2
Location 1,-117.1219,32.5390,26,2021-09-19,0.00,62.9,69.1
Location 1,-117.1219,32.5390,26,2021-09-20,0.00,60.0,67.2
Location 1,-117.1219,32.5390,26,2021-09-21,0.00,59.9,70.0
Location 1,-117.1219,32.5390,26,2021-09-22,0.00,63.7,76.6
Location 1,-117.1219,32.5390,26,2021-09-23,0.00,67.2,78.5
Location 1,-117.1219,32.5390,26,2021-09-24,0.00,64.3,71.0
Location 1,-117.1219,32.5390,26,2021-09-25,0.48,64.5,69.3
Location 1,-117.1219,32.5390,26,2021-09-26,0.00,64.6,69.3
Location 1,-117.1219,32.5390,26,2021-09-27,0.00,63.8,68.0
Location 1,-117.1219,32.5390,26,2021-09-28,0.00,63.6,66.8
Location 1,-117.1219,32.5390,26,2021-09-29,0.00,62.8,68.5
Location 1,-117.1219,32.5390,26,2021-09-30,0.00,60.0,69.7
Location 1,-117.1219,32.5390,26,2021-10-01,0.00,57.1,71.3
Location 1,-117.1219,32.5390,26,2021-10-02,0.00,57.0,85.9
Location 1,-117.1219,32.5390,26,2021-10-03,0.00,58.5,83.5
Location 1,-117.1219,32.5390,26,2021-10-04,0.00,61.9,84.7
Location 1,-117.1219,32.5390,26,2021-10-05,0.53,64.0,78.3
Location 1,-117.1219,32.5390,26,2021-10-06,0.00,65.3,73.6
Location 1,-117.1219,32.5390,26,2021-10-07,0.00,65.4,71.5
Location 1,-117.1219,32.5390,26,2021-10-08,0.11,64.1,70.5
Location 1,-117.1219,32.5390,26,2021-10-09,0.00,59.2,70.0
Location 1,-117.1219,32.5390,26,2021-10-10,0.00,56.2,69.2
Location 1,-117.1219,32.5390,26,2021-10-11,0.00,54.6,70.1
Location 1,-117.1219,32.5390,26,2021-10-12,0.00,57.0,68.3
Location 1,-117.1219,32.5390,26,2021-10-13,0.00,50.4,69.3
Location 1,-117.1219,32.5390,26,2021-10-14,0.00,48.5,69.8
Location 1,-117.1219,32.5390,26,2021-10-15,0.00,49.9,68.2
Location 1,-117.1219,32.5390,26,2021-10-16,0.00,51.9,84.5
Location 1,-117.1219,32.5390,26,2021-10-17,0.00,52.2,82.4
Location 1,-117.1219,32.5390,26,2021-10-18,0.00,53.7,71.3
Location 1,-117.1219,32.5390,26,2021-10-19,0.00,50.1,68.8
Location 1,-117.1219,32.5390,26,2021-10-20,0.00,49.0,65.4
Location 1,-117.1219,32.5390,26,2021-10-21,0.00,48.8,66.2
Location 1,-117.1219,32.5390,26,2021-10-22,0.00,51.3,66.3
Location 1,-117.1219,32.5390,26,2021-10-23,0.00,57.6,64.7
Location 1,-117.1219,32.5390,26,2021-10-24,0.00,57.3,65.3
Location 1,-117.1219,32.5390,26,2021-10-25,0.00,56.4,66.2
Location 1,-117.1219,32.5390,26,2021-10-26,0.25,54.6,65.6
Location 1,-117.1219,32.5390,26,2021-10-27,0.00,51.7,64.5
Location 1,-117.1219,32.5390,26,2021-10-28,0.00,51.2,73.3
Location 1,-117.1219,32.5390,26,2021-10-29,0.00,54.7,79.5
Location 1,-117.1219,32.5390,26,2021-10-30,0.00,55.9,69.0
Location 1,-117.1219,32.5390,26,2021-10-31,0.00,57.7,60.8
Location 1,-117.1219,32.5390,26,2021-11-01,0.00,56.2,65.4
Location 1,-117.1219,32.5390,26,2021-11-02,0.00,55.0,68.6
Location 1,-117.1219,32.5390,26,2021-11-03,0.00,52.5,65.2
Location 1,-117.1219,32.5390,26,2021-11-04,0.00,55.5,63.9
Location 1,-117.1219,32.5390,26,2021-11-05,0.00,55.2,63.3
Location 1,-117.1219,32.5390,26,2021-11-06,0.00,55.2,62.0
Location 1,-117.1219,32.5390,26,2021-11-07,0.00,56.6,63.3
Location 1,-117.1219,32.5390,26,2021-11-08,0.00,54.2,63.7
Location 1,-117.1219,32.5390,26,2021-11-09,0.00,52.0,63.4
Location 1,-117.1219,32.5390,26,2021-11-10,0.00,52.2,65.9
Location 1,-117.1219,32.5390,26,2021-11-11,0.00,55.1,65.4
Location 1,-117.1219,32.5390,26,2021-11-12,0.00,57.6,81.9
Location 1,-117.1219,32.5390,26,2021-11-13,0.00,58.2,85.7
Location 1,-117.1219,32.5390,26,2021-11-14,0.00,57.1,78.0
Location 1,-117.1219,32.5390,26,2021-11-15,0.00,56.5,81.6
Location 1,-117.1219,32.5390,26,2021-11-16,0.00,51.2,73.3
Location 1,-117.1219,32.5390,26,2021-11-17,0.00,52.6,62.1
Location 1,-117.1219,32.5390,26,2021-11-18,0.00,50.8,64.6
Location 1,-117.1219,32.5390,26,2021-11-19,0.00,50.5,63.2
Location 1,-117.1219,32.5390,26,2021-11-20,0.00,53.0,63.3
Location 1,-117.1219,32.5390,26,2021-11-21,0.00,54.1,62.9
Location 1,-117.1219,32.5390,26,2021-11-22,0.00,52.2,77.0
Location 1,-117.1219,32.5390,26,2021-11-23,0.00,54.7,83.9
Location 1,-117.1219,32.5390,26,2021-11-24,0.00,52.5,65.2
Location 1,-117.1219,32.5390,26,2021-11-25,0.00,46.9,65.2
Location 1,-117.1219,32.5390,26,2021-11-26,0.00,46.5,76.3
Location 1,-117.1219,32.5390,26,2021-11-27,0.00,50.3,77.0
Location 1,-117.1219,32.5390,26,2021-11-28,0.00,48.9,71.4
Location 1,-117.1219,32.5390,26,2021-11-29,0.00,49.0,73.7
Location 1,-117.1219,32.5390,26,2021-11-30,0.00,46.9,70.0
Location 1,-117.1219,32.5390,26,2021-12-01,0.00,50.9,61.8
Location 1,-117.1219,32.5390,26,2021-12-02,0.00,52.4,62.9
Location 1,-117.1219,32.5390,26,2021-12-03,0.00,54.8,60.5
Location 1,-117.1219,32.5390,26,2021-12-04,0.00,55.0,61.4
Location 1,-117.1219,32.5390,26,2021-12-05,0.00,55.1,61.6
Location 1,-117.1219,32.5390,26,2021-12-06,0.00,47.2,61.3
Location 1,-117.1219,32.5390,26,2021-12-07,0.00,46.4,61.2
Location 1,-117.1219,32.5390,26,2021-12-08,0.03,51.0,61.1
Location 1,-117.1219,32.5390,26,2021-12-09,0.02,52.8,66.4
Location 1,-117.1219,32.5390,26,2021-12-10,0.17,51.3,62.7
Location 1,-117.1219,32.5390,26,2021-12-11,0.00,46.3,63.6
Location 1,-117.1219,32.5390,26,2021-12-12,0.00,45.9,68.2
Location 1,-117.1219,32.5390,26,2021-12-13,0.00,44.2,62.5
Location 1,-117.1219,32.5390,26,2021-12-14,0.00,50.6,60.0
Location 1,-117.1219,32.5390,26,2021-12-15,1.01,49.5,61.6
Location 1,-117.1219,32.5390,26,2021-12-16,0.00,42.5,56.8
Location 1,-117.1219,32.5390,26,2021-12-17,0.01,41.4,57.6
Location 1,-117.1219,32.5390,26,2021-12-18,0.00,44.4,62.6
Location 1,-117.1219,32.5390,26,2021-12-19,0.00,43.3,65.1
Location 1,-117.1219,32.5390,26,2021-12-20,0.00,40.9,61.4
Location 1,-117.1219,32.5390,26,2021-12-21,0.00,41.4,62.1
Location 1,-117.1219,32.5390,26,2021-12-22,0.00,50.6,64.5
Location 1,-117.1219,32.5390,26,2021-12-23,0.00,49.7,61.7
Location 1,-117.1219,32.5390,26,2021-12-24,0.71,53.4,62.4
Location 1,-117.1219,32.5390,26,2021-12-25,0.28,51.5,61.9
Location 1,-117.1219,32.5390,26,2021-12-26,0.23,52.7,58.0
Location 1,-117.1219,32.5390,26,2021-12-27,0.00,44.5,58.0
Location 1,-117.1219,32.5390,26,2021-12-28,0.18,46.3,56.0
Location 1,-117.1219,32.5390,26,2021-12-29,0.20,47.5,56.6
Location 1,-117.1219,32.5390,26,2021-12-30,0.13,47.9,59.5
Location 1,-117.1219,32.5390,26,2021-12-31,0.02,52.0,64.4

Location 2,-117.0862,32.5453,190,2021-01-01,0.00,48.0,60.1
